|=======================================================================================|
| ALIGNMENT |  ALIGNED SEQ. ACCN. ID |    SCORE | IDENTITY(%) | MATCH | MISMATCH | GAPS |
|===========|========================|==========|=============|=======|==========|======|
|         1 |        NP_000468.1     |  5931.63 |      100.00 |   609 |        0 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         2 |     XP_008051122.1     |  5693.62 |       83.22 |   506 |      102 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         3 |     XP_008570678.1     |  5603.11 |       79.11 |   481 |      127 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         4 |     XP_006991727.1     |  5572.19 |       75.82 |   461 |      147 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         5 |         AAW79112.1     |  5567.18 |       75.49 |   459 |      149 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         6 |     XP_004681276.1     |  5537.65 |       76.15 |   463 |      145 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         7 |     XP_006142974.1     |  5529.19 |       77.80 |   473 |      135 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         8 |         CAA76841.1     |  5414.98 |       79.59 |   464 |      119 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         9 |     XP_006188754.1     |  4688.00 |       75.99 |   462 |      145 |    1 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        10 |         ELK24962.1     |  4987.05 |       76.31 |   422 |      131 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        11 |     XP_007467630.1     |  4818.46 |       78.29 |   476 |      131 |    1 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        12 |     XP_007126313.1     |  4593.37 |       78.45 |   466 |      127 |    1 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        13 |     NP_001297323.1     |  3393.48 |       49.76 |   305 |      304 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        14 |         KFP03690.1     |  3344.72 |       48.94 |   300 |      309 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        15 |         KFW67675.1     |  3315.00 |       48.12 |   295 |      314 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        16 |         KFV90964.1     |  3269.72 |       48.29 |   296 |      313 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        17 |     XP_005429097.1     |  3314.54 |       46.17 |   283 |      326 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        18 |     XP_005495222.1     |  3263.31 |       45.84 |   281 |      328 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        19 |         EMC85061.1     |  2979.10 |       47.47 |   291 |      312 |   10 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        20 |         KFP62725.1     |  2911.10 |       47.80 |   293 |      314 |    6 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        21 |     XP_007065578.1     |  3405.08 |       47.47 |   291 |      318 |    4 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        22 |     XP_006018845.1     |  2408.80 |       44.12 |   270 |      336 |    6 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|=======================================================================================|
