|=======================================================================================|
| ALIGNMENT |  ALIGNED SEQ. ACCN. ID |    SCORE | IDENTITY(%) | MATCH | MISMATCH | GAPS |
|===========|========================|==========|=============|=======|==========|======|
|         1 |         ABI63346.1     |   859.14 |      100.00 |    98 |        0 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         2 |     XP_008967348.1     |   860.16 |       98.98 |    97 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         3 |         ABB89743.1     |   781.21 |       73.64 |    81 |       17 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         4 |     XP_007466015.1     |   787.25 |       76.36 |    84 |       14 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         5 |         EGW08477.1     |   796.68 |       77.27 |    85 |       13 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         6 |     NP_001009272.1     |   765.62 |       75.45 |    83 |       15 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         7 |         ACK44319.1     |   785.82 |       77.27 |    85 |       13 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         8 |     XP_006911039.1     |   788.07 |       75.45 |    83 |       15 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         9 |         ACX53313.1     |   765.65 |       72.48 |    79 |       18 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        10 |     XP_006750158.1     |   823.61 |       79.09 |    87 |       11 |   12 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        11 |     XP_005499300.1     |   668.92 |       63.55 |    68 |       30 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        12 |     XP_006008147.1     |   610.11 |       59.81 |    64 |       34 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        13 |     XP_006033708.1     |   605.10 |       60.75 |    65 |       33 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        14 |     XP_005486624.1     |   697.00 |       68.22 |    73 |       25 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        15 |     XP_005427262.1     |   697.00 |       68.22 |    73 |       25 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        16 |     XP_010395059.1     |   671.89 |       65.42 |    70 |       28 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        17 |     XP_010159413.1     |   665.75 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        18 |     XP_010011817.1     |   662.76 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        19 |     XP_009808574.1     |   670.80 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        20 |     XP_008920278.1     |   669.37 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        21 |     XP_005237374.1     |   675.95 |       63.55 |    68 |       30 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        22 |     XP_010002178.1     |   683.54 |       65.42 |    70 |       28 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        23 |     XP_009918866.1     |   671.18 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        24 |         KFP52374.1     |   666.74 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        25 |     XP_007424294.1     |   569.09 |       57.69 |    60 |       38 |    6 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        26 |     XP_009905017.1     |   672.84 |       64.49 |    69 |       29 |    9 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        27 |     XP_007902984.1     |   450.05 |       49.56 |    56 |       42 |   15 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|=======================================================================================|
