|=======================================================================================|
| ALIGNMENT |  ALIGNED SEQ. ACCN. ID |    SCORE | IDENTITY(%) | MATCH | MISMATCH | GAPS |
|===========|========================|==========|=============|=======|==========|======|
|         1 |        NP_001092.1     |  4262.17 |      100.00 |   375 |        0 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         2 |     XP_007967229.1     |  4255.27 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         3 |     NP_001126826.1     |  4254.84 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         4 |     XP_010365296.1     |  4255.07 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         5 |     NP_001182774.1     |  4253.03 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         6 |     NP_001231504.1     |  4251.43 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         7 |     XP_005504559.1     |  4250.28 |       99.73 |   374 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         8 |         KFP57391.1     |  4240.44 |       99.73 |   373 |        1 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|         9 |     NP_001082422.1     |  4251.76 |       99.47 |   373 |        2 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|        10 |     NP_001098278.1     |  4233.13 |       98.93 |   371 |        4 |    0 |
|-----------|------------------------|----------|-------------|-------|----------|------|
|=======================================================================================|
